Frequency,Loss,Pcold,Phot,LoadTHot,LNATHot,LoadTCold,LNATCold,Tcal
67,1.324360559,-68.514,-69.350,49.000,19.600,20.000,19.600,99.104
68,1.305100073,-69.319,-70.018,49.000,19.600,20.000,19.600,125.781
69,1.289168967,-71.726,-72.575,49.000,19.600,20.000,19.600,98.611
70,1.275744983,-68.891,-69.848,49.000,19.600,20.000,19.600,84.407
71,1.264262719,-65.671,-66.548,49.000,19.600,20.000,19.600,95.516
72,1.254319282,-73.467,-74.547,49.000,19.600,20.000,19.600,71.912
73,1.245618994,-7.61E+01,-7.70E+01,49.000,19.600,20.000,19.600,8.26E+01
74,1.237939437,-6.84E+01,-6.97E+01,49.000,19.600,20.000,19.600,5.49E+01
75,1.231109736,-6.44E+01,-6.57E+01,49.000,19.600,20.000,19.600,5.52E+01
76,1.224996214,-6.51E+01,-6.63E+01,49.000,19.600,20.000,19.600,6.53E+01
77,1.219492624,-66.924,-68.153,49.000,19.600,20.000,19.600,60.42023308
78,1.214513339,-74.95,-75.936,49.000,19.600,20.000,19.600,83.39931275
79,1.209988499,-80.424,-80.649,49.000,19.600,20.000,19.600,476.3727749
80,1.205860474,-64.251,-64.996,49.000,19.600,20.000,19.600,121.3013753
81,1.202081256,-65.398,-66.561,49.000,19.600,20.000,19.600,66.25525485
82,1.198610492,-71.898,-73.07,49.000,19.600,20.000,19.600,65.61995716
83,1.195413991,-79.567,-80.014,49.000,19.600,20.000,19.600,224.9169877
84,1.192462571,-72.804,-73.899,49.000,19.600,20.000,19.600,72.71961375
85,1.189731153,-64.036,-65.145,49.000,19.600,20.000,19.600,71.49728793
86,1.187198054,-62.345,-63.534,49.000,19.600,20.000,19.600,64.61396467
87,1.184844418,-63.226,-64.468,49.000,19.600,20.000,19.600,60.56641282
88,1.182653766,-66.582,-67.879,49.000,19.600,20.000,19.600,56.70952459
89,1.180611618,-65.247,-66.574,49.000,19.600,20.000,19.600,54.76712508
90,1.178705202,-62.127,-63.496,49.000,19.600,20.000,19.600,52.16321028
91,1.176923196,-61.049,-62.452,49.000,19.600,20.000,19.600,50.17696636
92,1.175255531,-60.097,-61.533,49.000,19.600,20.000,19.600,48.33783882
93,1.173693216,-59.195,-60.679,49.000,19.600,20.000,19.600,45.78618327
94,1.172228195,-60.991,-62.484,49.000,19.600,20.000,19.600,45.3577308
95,1.170853227,-66.97,-68.261,49.000,19.600,20.000,19.600,57.49693284
96,1.169561781,-63.385,-64.652,49.000,19.600,20.000,19.600,59.23581531
97,1.168347956,-60.479,-61.972,49.000,19.600,20.000,19.600,45.46268228
98,1.167206396,-60.359,-61.876,49.000,19.600,20.000,19.600,44.26997192
99,1.166132237,-60.426,-61.994,49.000,19.600,20.000,19.600,41.82278065
100,1.165121044,-61.867,-63.425,49.000,19.600,20.000,19.600,42.32149873
101,1.164168767,-62.922,-64.45,49.000,19.600,20.000,19.600,43.80253437
102,1.163271699,-63.059,-64.561,49.000,19.600,20.000,19.600,45.13658084
103,1.162426438,-61.999,-63.513,49.000,19.600,20.000,19.600,44.54893906
104,1.161629859,-66.543,-67.909,49.000,19.600,20.000,19.600,52.86093556
105,1.160879084,-65.102,-66.452,49.000,19.600,20.000,19.600,53.89024744
106,1.160171458,-65.816,-67.028,49.000,19.600,20.000,19.600,63.70778093
107,1.159504526,-66.364,-67.645,49.000,19.600,20.000,19.600,58.56613344
108,1.158876017,-67.755,-68.96,49.000,19.600,20.000,19.600,64.31059076
109,1.158283826,-68.802,-69.869,49.000,19.600,20.000,19.600,76.82650578
110,1.157725997,-67.764,-68.747,49.000,19.600,20.000,19.600,86.18441326
111,1.157200711,-67.973,-68.975,49.000,19.600,20.000,19.600,83.95818216
112,1.156706277,-65.266,-66.544,49.000,19.600,20.000,19.600,58.87145208
113,1.156241115,-65.435,-66.792,49.000,19.600,20.000,19.600,53.58973941
114,1.155803752,-64.953,-66.002,49.000,19.600,20.000,19.600,78.80287751
115,1.15539281,-65.182,-66.3,49.000,19.600,20.000,19.600,71.95897358
116,1.155007,-66.481,-67.798,49.000,19.600,20.000,19.600,56.23129556
