Chain 2 - Calibration: 1 - Project: TEST - 2022110 10 53 - 
CRBE: GV = NAV DV = +1.000V DI = +5.000mA    -   RTBE: GV = NAV DV = +1.262V DI = +5.000mA 
Center Frequency     = 0.075GHz    Marker Frequency     = 0.075GHz    Resolution Bandwidth = 8MHz    Video Bandwidth      = 10Hz    Frequency Span       = 25MHz    Power Bandwidth      = 24MHz    Attenuation          = 10dB
Frequency (GHz),Loss (dB),PCold (dBm),PHot (dBm),LoadTHot (K),LNATHot (K),LoadTCold (K),LNATCold (K),TCal (K),Post Meas LNATHot (K),Post Meas LNATCold (K)
67.0,1.324360559,-50.7,-56.73,50.06,49.95,20.22,20.08,56.76045854807385,49.95,20.08
68.0,1.305100073,-43.14,-44.15,50.03,49.95,20.2,20.08,127.11410178315705,49.95,20.08
69.0,1.289168967,-53.1,-53.29,49.96,49.95,20.169999999999998,20.08,500.74920119534704,49.95,20.08
70.0,1.275744983,-50.37,-44.97,50.09,49.95,20.3,20.08,21.581700544278146,49.95,20.08
71.0,1.264262719,-49.99,-42.4,49.93,49.95,20.279999999999998,20.08,25.401144333391727,49.95,20.08
72.0,1.254319282,-59.05,-40.54,50.0,49.95,20.15,20.08,29.564186719500352,49.95,20.08
73.0,1.245618994,-58.57,-52.51,50.07,49.95,20.29,20.08,23.114192335511785,49.95,20.08
74.0,1.237939437,-51.37,-53.48,49.94,49.95,20.2,20.08,82.21347975448313,49.95,20.08
75.0,1.231109736,-48.26,-49.43,50.09,49.95,20.29,20.08,115.63491232289152,49.95,20.08
76.0,1.224996214,-42.08,-40.72,49.92,49.95,20.22,20.08,-25.233666538154388,49.95,20.08
77.0,1.219492624,-57.15,-53.28,49.93,49.95,20.169999999999998,20.08,15.747843625277952,49.95,20.08
78.0,1.214513339,-42.55,-41.9,49.9,49.95,20.16,20.08,-95.0721731245267,49.95,20.08
79.0,1.209988499,-45.81,-51.68,49.97,49.95,20.259999999999998,20.08,57.037386903307485,49.95,20.08
80.0,1.205860474,-55.77,-51.22,49.93,49.95,20.21,20.08,18.821158522769345,49.95,20.08
81.0,1.202081256,-49.04,-58.59,50.0,49.95,20.189999999999998,20.08,52.51325718646202,49.95,20.08
82.0,1.198610492,-57.43,-46.38,49.99,49.95,20.29,20.08,27.98710143623479,49.95,20.08
83.0,1.195413991,-58.19,-53.23,49.97,49.95,20.24,20.08,20.26047065033518,49.95,20.08
84.0,1.192462571,-41.21,-53.55,49.99,49.95,20.23,20.08,51.23932628140495,49.95,20.08
85.0,1.189731153,-47.68,-46.11,50.0,49.95,20.16,20.08,-16.435122577644712,49.95,20.08
86.0,1.187198054,-57.63,-50.7,50.04,49.95,20.22,20.08,24.68421313718123,49.95,20.08
87.0,1.184844418,-53.72,-53.26,49.9,49.95,20.259999999999998,20.08,-151.5387802470373,49.95,20.08
88.0,1.182653766,-43.67,-56.87,50.08,49.95,20.14,20.08,51.081805608031296,49.95,20.08
89.0,1.180611618,-56.95,-49.54,49.99,49.95,20.259999999999998,20.08,25.250060808778308,49.95,20.08
90.0,1.178705202,-47.83,-49.33,49.97,49.95,20.2,20.08,98.91090180469956,49.95,20.08
91.0,1.176923196,-52.77,-45.44,49.92,49.95,20.25,20.08,25.09411916564696,49.95,20.08
92.0,1.175255531,-51.87,-50.63,50.04,49.95,20.23,20.08,-31.36917247176941,49.95,20.08
93.0,1.173693216,-49.5,-49.97,50.06,49.95,20.18,20.08,226.5461500814111,49.95,20.08
94.0,1.172228195,-56.69,-48.37,50.06,49.95,20.21,20.08,26.363944200269408,49.95,20.08
95.0,1.170853227,-57.69,-48.6,50.01,49.95,20.16,20.08,27.016754514823788,49.95,20.08
96.0,1.169561781,-56.05,-58.33,50.09,49.95,20.11,20.08,79.20259486366696,49.95,20.08
97.0,1.168347956,-48.35,-42.97,50.01,49.95,20.27,20.08,21.48680372,49.95,20.08
98.0,1.167206396,-47.92,-53.27,50.06,49.95,20.27,20.08,58.39563375721897,49.95,20.08
99.0,1.166132237,-40.01,-51.76,49.97,49.95,20.16,20.08,51.41199211726858,49.95,20.08
100.0,1.165121044,-56.14,-44.62,50.03,49.95,20.099999999999998,20.08,28.401911154888513,49.95,20.08
101.0,1.164168767,-53.67,-41.57,50.09,49.95,20.29,20.08,28.472811815448612,49.95,20.08
102.0,1.163271699,-43.51,-55.02,49.96,49.95,20.279999999999998,20.08,51.4994516156173,49.95,20.08
103.0,1.162426438,-59.07,-54.77,50.08,49.95,20.27,20.08,17.83921175998512,49.95,20.08
104.0,1.161629859,-47.2,-47.82,50.09,49.95,20.29,20.08,182.20449020972382,49.95,20.08
105.0,1.160879084,-53.11,-48.51,49.96,49.95,20.25,20.08,18.97964449743908,49.95,20.08
106.0,1.160171458,-51.87,-42.61,49.92,49.95,20.27,20.08,26.940570349955895,49.95,20.08
107.0,1.159504526,-41.51,-55.27,49.96,49.95,20.169999999999998,20.08,50.84488773356334,49.95,20.08
108.0,1.158876017,-42.86,-47.64,50.03,49.95,20.14,20.08,60.061734388742096,49.95,20.08
109.0,1.158283826,-53.96,-55.99,50.03,49.95,20.24,20.08,83.97208064814073,49.95,20.08
110.0,1.157725997,-48.68,-42.74,50.08,49.95,20.279999999999998,20.08,22.87981083103932,49.95,20.08
111.0,1.157200711,-52.18,-50.89,49.99,49.95,20.2,20.08,-28.58519437993519,49.95,20.08
112.0,1.156706277,-53.91,-50.93,50.04,49.95,20.11,20.08,9.534361454930256,49.95,20.08
113.0,1.156241115,-48.84,-50.79,50.08,49.95,20.2,20.08,85.69796254156091,49.95,20.08
114.0,1.155803752,-49.9,-56.92,49.95,49.95,20.14,20.08,54.94028585233483,49.95,20.08
115.0,1.15539281,-44.71,-53.86,49.96,49.95,20.3,20.08,52.767886807238554,49.95,20.08
