Chain 2 - Calibration: 3 - Project: Test3 - 2022131 7 24 - 
CRBE: GV = NAV DV = +1.434V DI = +13.900mA    -   RTBE: GV = NAV DV = +1.420V DI = +16.000mA 
Center Frequency     = 0.075GHz    Marker Frequency     = 0.075GHz    Resolution Bandwidth = 8MHz    Video Bandwidth      = 10Hz    Frequency Span       = 25MHz    Power Bandwidth      = 24MHz    Attenuation          = 10dB
Frequency (GHz),Loss (dB),Cold Powers (dBm),Hot Powers (dBm),Hot Load Temps (K),Hot LNA Temps (K),Cold Load Temps (K),Cold LNA Temps (K),Calibrated Noise Temp (K),Pre Cold Measurement LNA Temp (K),Post Cold Measurement LNA Temp (K),Pre Hot Measurement LNA Temp (K),Post Hot Measurement LNA Temp (K),Pre Cold Measurement 1st Extra Temp (K),Post Cold Measurement 1st Extra Temp (K),Pre Hot Measurement 1st Extra Temp (K),Post Hot Measurement 1st Extra Temp (K),Pre Cold Measurement 2nd Extra Temp (K),Post Cold Measurement 2nd Extra Temp (K),Pre Hot Measurement 2nd Extra Temp (K),Post Hot Measurement 2nd Extra Temp (K)
67.0,1.324360559,-43.05,-43.51,50.7,21.0,20.16,21.0,228.28025739452096,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
68.0,1.305100073,-49.95,-44.16,50.75,21.0,20.189999999999998,21.0,19.55384204726427,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
69.0,1.289168967,-53.89,-56.37,50.77,21.0,20.18,21.0,73.60739298348147,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
70.0,1.275744983,-52.65,-47.94,50.64,21.0,20.25,21.0,16.57528639541823,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
71.0,1.264262719,-50.54,-57.2,50.790000000000006,21.0,20.169999999999998,21.0,53.11783480041443,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
72.0,1.254319282,-51.84,-54.8,50.74,21.0,20.2,21.0,68.3621960595072,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
73.0,1.245618994,-50.04,-41.97,50.790000000000006,21.0,20.2,21.0,23.704078154243632,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
74.0,1.237939437,-52.74,-54.1,50.77,21.0,20.2,21.0,102.94465262345977,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
75.0,1.231109736,-44.37,-57.24,50.800000000000004,21.0,20.13,21.0,48.994963174112385,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
76.0,1.224996214,-57.81,-55.37,50.61,21.0,20.2,21.0,0.6148960443891909,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
77.0,1.219492624,-44.12,-40.75,50.78,21.0,20.29,21.0,10.284764592526749,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
78.0,1.214513339,-52.15,-47.16,50.6,21.0,20.169999999999998,21.0,18.248599753244527,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
79.0,1.209988499,-40.23,-42.94,50.67,21.0,20.22,21.0,71.42126558771685,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
80.0,1.205860474,-49.22,-45.96,50.77,21.0,20.279999999999998,21.0,9.603420505654043,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
