Project Title,Cryostat Chain,Calibration ID,Date,Time,Comment, ,Center Frequency (GHz),Marker Frequency (GHz),Resolution Bandwidth (MHz),Video Bandwidth (Hz),Frequency Span (MHz),Power Bandwidth (MHz),Attenuation (dB), ,CRBE GV Set (V),CRBE DV Set (V),CRBE DI Set (mA),RTBE GV Set (V),RTBE DV Set (V),RTBE DI Set (mA), ,CRBE GV Meas (V),CRBE DV Meas (V),CRBE DI Meas (mA),RTBE GV Meas (V),RTBE DV Meas (V),RTBE DI Meas (mA)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caruso,2,1,2022 6 9,11 16,Cal Ch2 Test,,0.075,0.075,8,10,25,24,10,,0.238,1.21,12.2,-0.177,1.22,16,,0.23,1.21,12.271,-0.171,1.22,15.991
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caruso,3,1,2022 6 9,11 47,Cal Ch2 Test,,0.075,0.075,8,10,25,24,10,,0.327,1.2,12,-0.177,1.22,16,,0.316,1.2,12.082,-0.17,1.219,16.004
Caruso,3,2,2022 6 9,13 39,Cal Ch3 Test,,0.075,0.075,8,10,25,24,10,,+0.319,+1.200,+12.000,-0.177,+1.220,+16.000,,0.308,1.2,11.911,-0.17,1.219,15.988999999999999

Caruso,3,3,2022 6 9,14 15,Cal Ch3,,0.075,0.075,8,10,25,24,10,,+0.319,+1.200,+12.000,-0.177,+1.220,+16.000,,0.308,1.2,11.918,-0.17,1.219,15.997000000000002

Caruso,3,4,2022 6 9,14 48,Cal Ch3 #2,,0.075,0.075,8,10,25,24,10,,+0.319,+1.200,+12.000,-0.177,+1.220,+16.000,,0.308,1.2,11.925,-0.17,1.219,16.004

Caruso,2,2,2022 6 9,15 28,Cal Ch2,,0.075,0.075,8,10,25,24,10,,+0.229,+1.210,+12.200,-0.177,+1.220,+16.000,,0.221,1.21,12.036,-0.171,1.22,15.997999999999998

Caruso,2,3,2022 6 9,16 2,Cal Ch2 #2,,0.075,0.075,8,10,25,24,10,,+0.229,+1.210,+12.200,-0.177,+1.220,+16.000,,0.221,1.21,12.093,-0.171,1.22,15.997999999999998

Caruso,1,1,2022 6 9,16 36,Cal Ch1,,0.075,0.075,8,10,25,24,10,,+0.034,+1.200,+12.000,-0.177,+1.220,+16.000,,0.032,1.2,11.839,-0.17,1.22,16.02

Caruso,1,2,2022 6 9,17 5,Cal Ch1 #2,,0.075,0.075,8,10,25,24,10,,+0.034,+1.200,+12.000,-0.177,+1.220,+16.000,,0.032,1.2,11.846,-0.171,1.22,16.012999999999998

