Chain 1 - Calibration: 4.0 - Project: ESO LNAs - 2022215 13 42 - NA
CRBE: GV = NAV DV = +1.434V DI = 13.900mA    -   RTBE: GV = NAV DV = +1.420V DI = 16.000mA 
Center Frequency     = 0.075GHz    Marker Frequency     = 0.075GHz    Resolution Bandwidth = 8MHz    Video Bandwidth      = 10Hz    Frequency Span       = 25MHz    Power Bandwidth      = 24MHz    Attenuation          = 0dB
Frequency (GHz),Loss (dB),Cold Powers (dBm),Hot Powers (dBm),Hot Load Temps (K),Hot LNA Temps (K),Cold Load Temps (K),Cold LNA Temps (K),Calibrated Noise Temp (K),Pre Cold Measurement LNA Temp (K),Post Cold Measurement LNA Temp (K),Pre Hot Measurement LNA Temp (K),Post Hot Measurement LNA Temp (K),Pre Cold Measurement 1st Extra Temp (K),Post Cold Measurement 1st Extra Temp (K),Pre Hot Measurement 1st Extra Temp (K),Post Hot Measurement 1st Extra Temp (K),Pre Cold Measurement 2nd Extra Temp (K),Post Cold Measurement 2nd Extra Temp (K),Pre Hot Measurement 2nd Extra Temp (K),Post Hot Measurement 2nd Extra Temp (K)
67.0,1.324360559,-64.057,-66.171,49.8999,21.2883,19.9088,21.2883,-87.9010812202745,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
67.2,1.320190264,-68.215,-67.499,49.9348,21.2883,19.909,21.2883,126.11967167386017,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
67.4,1.316189233,-68.852,-68.21,49.963,21.2883,19.9088,21.2883,144.79952045885182,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
67.60000000000001,1.312346861,-69.121,-68.583,49.9744,21.2883,19.9087,21.2883,179.45281754882143,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
67.80000000000001,1.308653442,-68.731,-68.274,49.9727,21.2883,19.909,21.2883,217.36665492155564,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
68.00000000000001,1.305100073,-68.961,-68.379,49.9596,21.2883,19.9087,21.2883,163.81438899662734,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
68.20000000000002,1.301678573,-69.772,-69.191,49.9462,21.2883,19.9086,21.2883,164.30383757601362,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
68.40000000000002,1.298381406,-70.923,-70.401,49.9337,21.2883,19.9087,21.2883,186.7374849586329,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
68.60000000000002,1.29520162,-70.025,-69.433,49.9283,21.2883,19.9084,21.2883,160.97167464128427,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
68.80000000000003,1.292132789,-69.319,-68.678,49.9306,21.2883,19.9085,21.2883,146.3716069446493,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
69.00000000000003,1.289168967,-70.563,-69.909,49.9372,21.2883,19.9087,21.2883,143.02816760032027,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
69.20000000000003,1.286304637,-71.475,-70.677,49.9456,21.2883,19.9082,21.2883,111.51919146713414,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
69.40000000000003,1.283534677,-71.65,-70.871,49.9525,21.2883,19.9087,21.2883,115.20202727425858,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
69.60000000000004,1.280854324,-70.671,-69.826,49.9567,21.2883,19.9082,21.2883,103.80837594072585,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
69.80000000000004,1.278259138,-70.532,-69.712,49.9591,21.2883,19.9087,21.2883,108.09816354101316,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
70.00000000000004,1.275744983,-69.87,-69.102,49.9582,21.2883,19.9087,21.2883,117.74981466179113,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
70.20000000000005,1.273307991,-68.785,-68.016,49.9553,21.2883,19.9087,21.2883,117.66843315477276,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
70.40000000000005,1.270944549,-67.976,-67.243,49.9536,21.2883,19.909,21.2883,125.17095015929773,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
70.60000000000005,1.268651272,-67.457,-66.655,49.952,21.2883,19.9086,21.2883,111.70509656385173,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
70.80000000000005,1.266424988,-67.323,-66.527,49.9521,21.2883,19.9092,21.2883,112.90326085233009,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
71.00000000000006,1.264262719,-66.404,-65.53,49.9535,21.2883,19.909,21.2883,100.02594113873128,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
71.20000000000006,1.262161669,-66.14,-65.254,49.9557,21.2883,19.9091,21.2883,98.33419664278648,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
