Chain 2 - Calibration: 6 - Project: Test4 - 202227 21 49 - 
CRBE: GV = NAV DV = +1.175V DI = 14.000mA    -   RTBE: GV = NAV DV = +1.420V DI = 16.000mA 
Center Frequency     = 0.075GHz    Marker Frequency     = 0.075GHz    Resolution Bandwidth = 8MHz    Video Bandwidth      = 10Hz    Frequency Span       = 25MHz    Power Bandwidth      = 24MHz    Attenuation          = 10dB
Frequency (GHz),Loss (dB),Cold Powers (dBm),Hot Powers (dBm),Hot Load Temps (K),Hot LNA Temps (K),Cold Load Temps (K),Cold LNA Temps (K),Calibrated Noise Temp (K),Pre Cold Measurement LNA Temp (K),Post Cold Measurement LNA Temp (K),Pre Hot Measurement LNA Temp (K),Post Hot Measurement LNA Temp (K),Pre Cold Measurement 1st Extra Temp (K),Post Cold Measurement 1st Extra Temp (K),Pre Hot Measurement 1st Extra Temp (K),Post Hot Measurement 1st Extra Temp (K),Pre Cold Measurement 2nd Extra Temp (K),Post Cold Measurement 2nd Extra Temp (K),Pre Hot Measurement 2nd Extra Temp (K),Post Hot Measurement 2nd Extra Temp (K)
67.0,1.324360559,-42.66,-47.52,50.63,21.0,20.24,21.0,-59.663953776573486,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
68.0,1.305100073,-55.18,-59.22,50.61,21.0,20.2,21.0,-64.36772304887835,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
69.0,1.289168967,-49.56,-51.68,50.71,21.0,20.29,21.0,-89.89566692779543,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
70.0,1.275744983,-51.43,-58.56,50.790000000000006,21.0,20.099999999999998,21.0,-53.966692306566316,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
71.0,1.264262719,-59.17,-42.17,50.660000000000004,21.0,20.2,21.0,-19.734644297062275,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
72.0,1.254319282,-45.41,-43.16,50.63,21.0,20.21,21.0,19.788458611509718,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
73.0,1.245618994,-43.6,-50.48,50.67,21.0,20.21,21.0,-54.67967595490969,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
74.0,1.237939437,-54.17,-40.31,50.660000000000004,21.0,20.21,21.0,-19.11375522236776,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
75.0,1.231109736,-50.21,-42.48,50.68,21.0,20.22,21.0,-14.719182234828843,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
76.0,1.224996214,-48.45,-53.55,50.730000000000004,21.0,20.14,21.0,-60.27233320522981,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
77.0,1.219492624,-55.93,-41.01,50.78,21.0,20.24,21.0,-19.389407850067744,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
78.0,1.214513339,-51.5,-43.34,50.650000000000006,21.0,20.259999999999998,21.0,-15.350240506797437,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
79.0,1.209988499,-59.57,-52.59,50.61,21.0,20.27,21.0,-13.413455472180038,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
80.0,1.205860474,-44.86,-55.3,50.790000000000006,21.0,20.21,21.0,-50.925182386727926,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
81.0,1.202081256,-59.22,-40.52,50.6,21.0,20.259999999999998,21.0,-19.94564146192053,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
82.0,1.198610492,-56.01,-54.06,50.64,21.0,20.13,21.0,29.012172122531005,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
83.0,1.195413991,-52.23,-58.29,50.61,21.0,20.18,21.0,-57.279973895700394,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
84.0,1.192462571,-41.66,-57.55,50.68,21.0,20.15,21.0,-48.942576223755154,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
85.0,1.189731153,-54.53,-59.16,50.620000000000005,21.0,20.11,21.0,-62.8806692859307,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
86.0,1.187198054,-40.63,-41.33,50.78,21.0,20.15,21.0,-209.2110851291145,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
87.0,1.184844418,-56.81,-56.5,50.790000000000006,21.0,20.22,21.0,359.5777366378698,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
88.0,1.182653766,-53.45,-56.39,50.77,21.0,20.2,21.0,-77.45909245372289,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
89.0,1.180611618,-44.2,-49.34,50.7,21.0,20.12,21.0,-60.78286400458165,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
90.0,1.178705202,-40.54,-56.52,50.720000000000006,21.0,20.279999999999998,21.0,-49.11961025086383,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
91.0,1.176923196,-42.76,-58.43,50.67,21.0,20.16,21.0,-49.151268367494254,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
92.0,1.175255531,-40.57,-49.65,50.730000000000004,21.0,20.21,21.0,-52.41435673073779,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
93.0,1.173693216,-58.95,-53.62,50.760000000000005,21.0,20.27,21.0,-8.649911025891265,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
94.0,1.172228195,-40.28,-45.69,50.68,21.0,20.25,21.0,-59.791000037913456,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
95.0,1.170853227,-40.79,-53.41,50.64,21.0,20.259999999999998,21.0,-50.034175140993696,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
96.0,1.169561781,-49.5,-57.81,50.660000000000004,21.0,20.13,21.0,-53.331768813659835,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
97.0,1.168347956,-48.23,-54.06,50.7,21.0,20.22,21.0,-58.46870878904616,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
98.0,1.167206396,-49.78,-47.4,50.75,21.0,20.16,21.0,18.595941757808777,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
99.0,1.166132237,-54.13,-42.09,50.690000000000005,21.0,20.279999999999998,21.0,-18.453944429887265,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
100.0,1.165121044,-46.53,-47.45,50.760000000000005,21.0,20.22,21.0,-168.56274738716402,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
101.0,1.164168767,-55.78,-52.23,50.77,21.0,20.13,21.0,2.2734361279644655,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
102.0,1.163271699,-56.56,-47.09,50.790000000000006,21.0,20.24,21.0,-16.68538662067363,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
103.0,1.162426438,-42.62,-41.52,50.75,21.0,20.24,21.0,77.9273773141849,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
