Chain 3 - Calibration: 3.0 - Project: XYZ - 2022210 21 12 - NA
CRBE: GV = NAV DV = +1.456V DI = 16.500mA    -   RTBE: GV = NAV DV = +1.420V DI = 16.000mA 
Center Frequency     = 0.075GHz    Marker Frequency     = 0.075GHz    Resolution Bandwidth = 8MHz    Video Bandwidth      = 10Hz    Frequency Span       = 25MHz    Power Bandwidth      = 24MHz    Attenuation          = 10dB
Frequency (GHz),Loss (dB),Cold Powers (dBm),Hot Powers (dBm),Hot Load Temps (K),Hot LNA Temps (K),Cold Load Temps (K),Cold LNA Temps (K),Calibrated Noise Temp (K),Pre Cold Measurement LNA Temp (K),Post Cold Measurement LNA Temp (K),Pre Hot Measurement LNA Temp (K),Post Hot Measurement LNA Temp (K),Pre Cold Measurement 1st Extra Temp (K),Post Cold Measurement 1st Extra Temp (K),Pre Hot Measurement 1st Extra Temp (K),Post Hot Measurement 1st Extra Temp (K),Pre Cold Measurement 2nd Extra Temp (K),Post Cold Measurement 2nd Extra Temp (K),Pre Hot Measurement 2nd Extra Temp (K),Post Hot Measurement 2nd Extra Temp (K)
67,1.324360559,-49.56,-48.7,50.63,21.0,20.15,21.0,101.03048471941668,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
68,1.305100073,-49.47,-48.17,50.63,21.0,20.25,21.0,56.05537813650098,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
69,1.289168967,-49.66,-48.42,50.760000000000005,21.0,20.169999999999998,21.0,61.44513891942639,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
70,1.275744983,-49.45,-48.27,50.61,21.0,20.169999999999998,21.0,66.23536900078375,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
71,1.264262719,-49.48,-48.65,50.67,21.0,20.13,21.0,108.98603757842281,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
72,1.254319282,-49.42,-48.56,50.74,21.0,20.2,21.0,104.44779205837742,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
73,1.245618994,-49.59,-48.55,50.620000000000005,21.0,20.11,21.0,80.99030816010867,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
74,1.237939437,-49.49,-48.63,50.67,21.0,20.2,21.0,104.95688139807832,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
75,1.231109736,-49.52,-48.64,50.720000000000006,21.0,20.14,21.0,102.64409238845582,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
76,1.224996214,-49.47,-48.22,50.620000000000005,21.0,20.099999999999998,21.0,62.59831181027058,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
77,1.219492624,-49.47,-48.12,50.6,21.0,20.12,21.0,55.594436142075466,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
78,1.214513339,-49.4,-48.05,50.67,21.0,20.189999999999998,21.0,55.68256146199035,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
79,1.209988499,-49.63,-48.43,50.720000000000006,21.0,20.2,21.0,67.00151364734027,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
80,1.205860474,-49.45,-48.23,50.690000000000005,21.0,20.18,21.0,65.49739737667234,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
81,1.202081256,-49.49,-48.02,50.71,21.0,20.24,21.0,48.753247096821106,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
82,1.198610492,-49.69,-48.68,50.650000000000006,21.0,20.279999999999998,21.0,85.70389142673186,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
83,1.195413991,-49.64,-48.67,50.78,21.0,20.24,21.0,91.40908231824119,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
84,1.192462571,-49.5,-48.45,50.620000000000005,21.0,20.15,21.0,81.88639651187587,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
85,1.189731153,-49.62,-48.74,50.730000000000004,21.0,20.2,21.0,104.44825127041935,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
86,1.187198054,-49.52,-48.74,50.74,21.0,20.24,21.0,122.0901060552939,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
87,1.184844418,-49.46,-48.0,50.7,21.0,20.15,21.0,50.07218728482425,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
88,1.182653766,-49.62,-48.72,50.620000000000005,21.0,20.27,21.0,100.95830009065364,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
89,1.180611618,-49.69,-48.47,50.75,21.0,20.21,21.0,66.44778232752046,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
90,1.178705202,-49.6,-48.01,50.75,21.0,20.21,21.0,43.39722437960548,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
91,1.176923196,-49.54,-48.25,50.74,21.0,20.279999999999998,21.0,60.89923265381904,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
92,1.175255531,-49.64,-48.36,50.63,21.0,20.23,21.0,61.57443963301503,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
93,1.173693216,-49.62,-48.66,50.730000000000004,21.0,20.21,21.0,93.67830284769569,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
94,1.172228195,-49.47,-48.14,50.620000000000005,21.0,20.2,21.0,58.20064541319419,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
95,1.170853227,-49.55,-48.08,50.690000000000005,21.0,20.189999999999998,21.0,49.76595583158391,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA
