Frequency,SetPower
67,3.83E+00
67.2,3.96E+00
67.4,4.07E+00
67.6,4.10E+00
67.8,4.04E+00
68,3.92E+00
68.2,3.87E+00
68.4,4.00E+00
68.6,4.06E+00
68.8,4.17E+00
69,4.41E+00
69.2,4.21E+00
69.4,4.09E+00
69.6,4.16E+00
69.8,4.05E+00
70,4.12E+00
70.2,4.27E+00
70.4,4.32E+00
70.6,4.25E+00
70.8,4.31E+00
71,4.13E+00
71.2,4.09E+00
71.4,4.31E+00
71.6,4.23E+00
71.8,4.45E+00
72,4.44E+00
72.2,4.24E+00
72.4,4.22E+00
72.6,4.28E+00
72.8,4.17E+00
73,4.35E+00
73.2,4.60E+00
73.4,4.34E+00
73.6,4.26E+00
73.8,4.26E+00
74,4.13E+00
74.2,4.20E+00
74.4,4.41E+00
74.6,4.34E+00
74.8,4.19E+00
75,4.09E+00
75.2,3.80E+00
75.4,3.91E+00
75.6,4.04E+00
75.8,4.03E+00
76,4.11E+00
76.2,3.89E+00
76.4,3.81E+00
76.6,3.84E+00
76.8,3.88E+00
77,3.93E+00
77.2,4.00E+00
77.4,3.95E+00
77.6,3.88E+00
77.8,3.86E+00
78,3.82E+00
78.2,3.87E+00
78.4,3.91E+00
78.6,3.90E+00
78.8,3.93E+00
79,3.94E+00
79.2,3.99E+00
79.4,3.99E+00
79.6,4.00E+00
79.8,4.06E+00
80,4.05E+00
80.2,4.16E+00
80.4,4.11E+00
80.6,4.05E+00
80.8,4.02E+00
81,4.06E+00
81.2,4.10E+00
81.4,4.15E+00
81.6,4.20E+00
81.8,4.18E+00
82,4.11E+00
82.2,4.02E+00
82.4,4.01E+00
82.6,4.12E+00
82.8,4.10E+00
83,4.17E+00
83.2,4.22E+00
83.4,4.18E+00
83.6,4.13E+00
83.8,4.23E+00
84,4.37E+00
84.2,4.33E+00
84.4,4.46E+00
84.6,4.59E+00
84.8,4.54E+00
85,4.36E+00
85.2,4.44E+00
85.4,4.62E+00
85.6,4.81E+00
85.8,4.89E+00
86,5.32E+00
86.2,5.42E+00
86.4,4.99E+00
86.6,4.80E+00
86.8,4.74E+00
87,4.74E+00
87.2,4.80E+00
87.4,5.20E+00
87.6,5.54E+00
87.8,5.30E+00
88,5.14E+00
88.2,5.32E+00
88.4,5.14E+00
88.6,4.80E+00
88.8,4.75E+00
89,4.81E+00
89.2,4.76E+00
89.4,4.95E+00
89.6,5.47E+00
89.8,5.77E+00
90,5.49E+00
90.2,5.34E+00
90.4,5.11E+00
90.6,4.67E+00
90.8,4.59E+00
91,4.99E+00
91.2,5.36E+00
91.4,5.33E+00
91.6,5.40E+00
91.8,5.40E+00
92,5.05E+00
92.2,4.92E+00
92.4,5.18E+00
92.6,5.25E+00
92.8,5.17E+00
93,5.20E+00
93.2,5.08E+00
93.4,4.91E+00
93.6,5.08E+00
93.8,5.60E+00
94,5.86E+00
94.2,5.58E+00
94.4,5.53E+00
94.6,5.17E+00
94.8,4.85E+00
95,5.10E+00
95.2,5.64E+00
95.4,5.96E+00
95.6,5.59E+00
95.8,5.27E+00
96,4.96E+00
96.2,4.89E+00
96.4,5.41E+00
96.6,6.06E+00
96.8,6.32E+00
97,5.77E+00
97.2,5.26E+00
97.4,4.98E+00
97.6,4.95E+00
97.8,5.47E+00
98,5.97E+00
98.2,6.24E+00
98.4,5.81E+00
98.6,5.30E+00
98.8,4.95E+00
99,4.77E+00
99.2,4.97E+00
99.4,5.17E+00
99.6,5.32E+00
99.8,5.01E+00
100,4.80E+00
100.2,4.80E+00
100.4,4.99E+00
100.6,5.13E+00
100.8,5.21E+00
101,5.21E+00
101.2,4.85E+00
101.4,4.76E+00
101.6,4.77E+00
101.8,5.13E+00
102,5.34E+00
102.2,5.40E+00
102.4,5.43E+00
102.6,5.01E+00
102.8,4.82E+00
103,4.78E+00
103.2,5.03E+00
103.4,5.15E+00
103.6,5.07E+00
103.8,5.16E+00
104,5.01E+00
104.2,4.96E+00
104.4,5.13E+00
104.6,5.45E+00
104.8,5.32E+00
105,5.05E+00
105.2,4.96E+00
105.4,4.96E+00
105.6,5.03E+00
105.8,5.14E+00
106,5.37E+00
106.2,5.18E+00
106.4,4.92E+00
106.6,4.82E+00
106.8,4.97E+00
107,5.04E+00
107.2,4.91E+00
107.4,4.99E+00
107.6,4.84E+00
107.8,4.85E+00
108,4.83E+00
108.2,5.06E+00
108.4,5.20E+00
108.6,4.92E+00
108.8,4.92E+00
109,4.91E+00
109.2,5.11E+00
109.4,5.08E+00
109.6,5.06E+00
109.8,5.19E+00
110,5.08E+00
110.2,5.00E+00
110.4,5.14E+00
110.6,5.37E+00
110.8,5.29E+00
111,5.13E+00
111.2,5.37E+00
111.4,5.89E+00
111.6,5.85E+00
111.8,5.72E+00
112,5.95E+00
112.2,5.69E+00
112.4,5.36E+00
112.6,5.57E+00
112.8,6.23E+00
113,6.23E+00
113.2,5.92E+00
113.4,6.21E+00
113.6,6.18E+00
113.8,5.65E+00
114,5.56E+00
114.2,5.89E+00
114.4,5.84E+00
114.6,5.54E+00
114.8,5.86E+00
115,6.32E+00
115.2,5.99E+00
115.4,5.76E+00
115.6,5.90E+00
115.8,5.62E+00
116,5.39E+00
116.2,5.63E+00
116.4,6.03E+00
116.6,5.87E+00
