Freq (GHz),Loss (dB)
67.00,1.324360559
67.20,1.320190264
67.40,1.316189233
67.60,1.312346861
67.80,1.308653442
68.00,1.305100073
68.20,1.301678573
68.40,1.298381406
68.60,1.29520162
68.80,1.292132789
69.00,1.289168967
69.20,1.286304637
69.40,1.283534677
69.60,1.280854324
69.80,1.278259138
70.00,1.275744983
70.20,1.273307991
70.40,1.270944549
70.60,1.268651272
70.80,1.266424988
71.00,1.264262719
71.20,1.262161669
71.40,1.260119207
71.60,1.258132855
71.80,1.256200281
72.00,1.254319282
72.20,1.252487779
72.40,1.250703808
72.60,1.248965511
72.80,1.247271129
73.00,1.245618994
73.20,1.244007526
73.40,1.242435226
73.60,1.240900669
73.80,1.239402502
74.00,1.237939437
74.20,1.236510249
74.40,1.235113771
74.60,1.233748892
74.80,1.232414551
75.00,1.231109736
75.20,1.229833482
75.40,1.228584866
75.60,1.227363006
75.80,1.226167058
76.00,1.224996214
76.20,1.223849703
76.40,1.222726784
76.60,1.221626746
76.80,1.220548911
77.00,1.219492624
77.20,1.218457259
77.40,1.217442216
77.60,1.216446914
77.80,1.2154708
78.00,1.214513339
78.20,1.213574017
78.40,1.212652339
78.60,1.21174783
78.80,1.210860031
79.00,1.209988499
79.20,1.209132809
79.40,1.208292551
79.60,1.207467329
79.80,1.206656759
80.00,1.205860474
80.20,1.205078117
80.40,1.204309343
80.60,1.203553821
80.80,1.202811229
81.00,1.202081256
81.20,1.201363601
81.40,1.200657974
81.60,1.199964094
81.80,1.199281688
82.00,1.198610492
82.20,1.19795025
82.40,1.197300716
82.60,1.196661648
82.80,1.196032815
83.00,1.195413991
83.20,1.194804958
83.40,1.194205502
83.60,1.193615418
83.80,1.193034505
84.00,1.192462571
84.20,1.191899426
84.40,1.191344887
84.60,1.190798777
84.80,1.190260921
85.00,1.189731153
85.20,1.189209309
85.40,1.188695229
85.60,1.188188759
85.80,1.18768975
86.00,1.187198054
86.20,1.186713529
86.40,1.186236036
86.60,1.18576544
86.80,1.18530161
87.00,1.184844418
87.20,1.184393739
87.40,1.183949452
87.60,1.183511437
87.80,1.183079579
88.00,1.182653766
88.20,1.182233888
88.40,1.181819837
88.60,1.181411509
88.80,1.181008803
89.00,1.180611618
89.20,1.180219858
89.40,1.179833428
89.60,1.179452235
89.80,1.179076189
90.00,1.178705202
90.20,1.178339187
90.40,1.17797806
90.60,1.177621739
90.80,1.177270144
91.00,1.176923196
91.20,1.176580818
91.40,1.176242935
91.60,1.175909474
91.80,1.175580363
92.00,1.175255531
92.20,1.174934911
92.40,1.174618434
92.60,1.174306035
92.80,1.17399765
93.00,1.173693216
93.20,1.173392671
93.40,1.173095955
93.60,1.172803009
93.80,1.172513774
94.00,1.172228195
94.20,1.171946216
94.40,1.171667782
94.60,1.171392841
94.80,1.171121339
95.00,1.170853227
95.20,1.170588453
95.40,1.17032697
95.60,1.170068728
95.80,1.16981368
96.00,1.169561781
96.20,1.169312985
96.40,1.169067248
96.60,1.168824526
96.80,1.168584776
97.00,1.168347956
97.20,1.168114025
97.40,1.167882943
97.60,1.16765467
97.80,1.167429167
98.00,1.167206396
98.20,1.16698632
98.40,1.166768902
98.60,1.166554106
98.80,1.166341896
99.00,1.166132237
99.20,1.165925096
99.40,1.165720439
99.60,1.165518233
99.80,1.165318445
100.00,1.165121044
100.20,1.164925999
100.40,1.164733279
100.60,1.164542853
100.80,1.164354692
101.00,1.164168767
101.20,1.16398505
101.40,1.163803512
101.60,1.163624125
101.80,1.163446863
102.00,1.163271699
102.20,1.163098606
102.40,1.162927559
102.60,1.162758531
102.80,1.162591499
103.00,1.162426438
103.20,1.162263323
103.40,1.162102131
103.60,1.161942839
103.80,1.161785422
104.00,1.161629859
104.20,1.161476128
104.40,1.161324206
104.60,1.161174073
104.80,1.161025706
105.00,1.160879084
105.20,1.160734189
105.40,1.160590998
105.60,1.160449492
105.80,1.160309652
106.00,1.160171458
106.20,1.160034891
106.40,1.159899933
106.60,1.159766565
106.80,1.159634768
107.00,1.159504526
107.20,1.15937582
107.40,1.159248633
107.60,1.159122948
107.80,1.158998748
108.00,1.158876017
108.20,1.158754738
108.40,1.158634895
108.60,1.158516473
108.80,1.158399455
109.00,1.158283826
109.20,1.158169571
109.40,1.158056676
109.60,1.157945124
109.80,1.157834903
110.00,1.157725997
110.20,1.157618392
110.40,1.157512075
110.60,1.157407031
110.80,1.157303248
111.00,1.157200711
111.20,1.157099409
111.40,1.156999326
111.60,1.156900452
111.80,1.156802773
112.00,1.156706277
112.20,1.156610952
112.40,1.156516785
112.60,1.156423764
112.80,1.156331878
113.00,1.156241115
113.20,1.156151464
113.40,1.156062913
113.60,1.155975452
113.80,1.155889068
114.00,1.155803752
114.20,1.155719493
114.40,1.155636279
114.60,1.155554101
114.80,1.155472948
115.00,1.15539281
115.20,1.155313677
115.40,1.15523554
115.60,1.155158387
115.80,1.155082211
116.00,1.155007
116.20,1.154932746
116.40,1.15485944
116.60,1.154787072
116.80,1.154715633
