,,,,,,,,,,,,,,,FBW,FBW,FBW,FBW,FBW,FBW,FBW,FBW,FBW,FBW,,BW1,BW1,BW1,BW1,BW1,BW1,BW1,BW1,BW1,BW1,,BW2,BW2,BW2,BW2,BW2,BW2,BW2,BW2,BW2,BW2,,BW3,BW3,BW3,BW3,BW3,BW3,BW3,BW3,BW3,BW3,,BW4,BW4,BW4,BW4,BW4,BW4,BW4,BW4,BW4,BW4,,BW5,BW5,BW5,BW5,BW5,BW5,BW5,BW5,BW5,BW5
Project Title,LNA ID/s (axb),Session ID,BiasID,Date,Time,Comment, ,FBW,BW 1,BW 2,BW 3,BW 4,BW 5, ,Gain Avg (dB),Gain Std Dev,Gain Min (dB),Gain Max (dB),Gain Range (dB),Noise Temp Avg (K),Noise Temp Std Dev,Noise Temp Min (K),Noise Temp Max (K),Noise Temp Range (K), ,Gain Avg (dB),Gain Std Dev,Gain Min (dB),Gain Max (dB),Gain Range (dB),Noise Temp Avg (K),Noise Temp Std Dev,Noise Temp Min (K),Noise Temp Max (K),Noise Temp Range (K), ,Gain Avg (dB),Gain Std Dev,Gain Min (dB),Gain Max (dB),Gain Range (dB),Noise Temp Avg (K),Noise Temp Std Dev,Noise Temp Min (K),Noise Temp Max (K),Noise Temp Range (K), ,Gain Avg (dB),Gain Std Dev,Gain Min (dB),Gain Max (dB),Gain Range (dB),Noise Temp Avg (K),Noise Temp Std Dev,Noise Temp Min (K),Noise Temp Max (K),Noise Temp Range (K), ,Gain Avg (dB),Gain Std Dev,Gain Min (dB),Gain Max (dB),Gain Range (dB),Noise Temp Avg (K),Noise Temp Std Dev,Noise Temp Min (K),Noise Temp Max (K),Noise Temp Range (K), ,Gain Avg (dB),Gain Std Dev,Gain Min (dB),Gain Max (dB),Gain Range (dB),Noise Temp Avg (K),Noise Temp Std Dev,Noise Temp Min (K),Noise Temp Max (K),Noise Temp Range (K)
ESO LNAs,21x25,1,1,2022217,20 9,NA,,67.00 -> 116.00,67.00 -> 90.00,90.00 -> 116.00,NA,NA,NA,,16.291810455388955,51.64651452168817,6.238834188937593,24.70184922680275,18.463015037865155,113.33918317103218,33.42306491471006,56.412381158383134,196.15531461454597,139.74293345616283,,17.98910999798388,68.01446261348823,9.462444674254275,24.70184922680275,15.239404552548475,121.515934735466,31.97904659028359,56.412381158383134,196.15531461454597,139.74293345616283,,13.694763923761478,14.232975559782428,6.238834188937593,18.38265572990312,12.143821540965527,105.49844994517717,32.9283801940143,65.7850124286863,189.41466879778147,123.62965636909517,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ESO LNAs,21x25,1,2,2022217,20 9,NA,,67.00 -> 116.00,67.00 -> 90.00,90.00 -> 116.00,NA,NA,NA,,16.34227557701124,48.928309024655434,8.578181258349405,24.62187349759236,16.043692239242958,109.2675961609883,38.31750595501501,59.71199174931897,206.3901297447166,146.67813799539763,,17.958295514239985,62.475843440182786,10.924238153628048,24.62187349759236,13.697635343964313,113.68801787411624,37.14974312200856,59.71199174931897,206.3901297447166,146.67813799539763,,13.938825365982872,19.838068965226938,8.578181258349405,20.353292708059204,11.775111449709799,104.6545902579718,38.97644504194059,64.11915213164649,199.56898775429391,135.4498356226474,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ESO LNAs,21x25,1,3,2022217,20 9,NA,,67.00 -> 116.00,67.00 -> 90.00,90.00 -> 116.00,NA,NA,NA,,16.799720556250858,80.82839727002786,8.19393906361522,27.379231501858623,19.1852924382434,111.42382602915207,33.6252333474489,64.04726626831675,183.18269768192314,119.1354314136064,,18.79402983802781,110.14183766735658,10.892361514135057,27.379231501858623,16.486869987723566,105.83371021053563,34.56629697509451,65.4513198782603,183.18269768192314,117.73137780366284,,13.38687606195747,14.22788452046862,8.19393906361522,18.20342133610686,10.00948227249164,115.99471945074679,32.05915837634977,64.04726626831675,164.4433580516641,100.39609178334734,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ESO LNAs,21x25,1,4,2022217,20 9,NA,,67.00 -> 116.00,67.00 -> 90.00,90.00 -> 116.00,NA,NA,NA,,16.8282569095525,70.34061458916356,6.8099352067892704,26.592621796848164,19.782686590058894,109.61918793887189,34.3456386310983,61.73193363244705,198.56041643418985,136.82848280174278,,18.727251515445708,93.81128232257318,11.283830459783342,26.592621796848164,15.308791337064822,103.76194950559251,28.258874525855276,63.449578668051785,169.47285400365885,106.02327533560707,,13.692979034646394,17.442234162811634,6.8099352067892704,19.33087668959731,12.520941482808041,114.64876515831439,38.20540067407721,61.73193363244705,198.56041643418985,136.82848280174278,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
"
"
ESO LNAs,21x25,2,1,2022217,21 16,NA,,67.00 -> 116.00,67.00 -> 90.00,90.00 -> 116.00,NA,NA,NA,,16.98891267559475,77.22339549477567,7.473347234732319,27.13794223108829,19.66459499635597,102.26465106452994,32.62685048366151,57.810241992039295,183.35410579324443,125.54386380120513,,18.886512192042748,104.84181865669773,11.159117200334563,27.13794223108829,15.978825030753725,102.6488786674484,33.94202170755266,57.810241992039295,183.35410579324443,125.54386380120513,,13.88921773276147,13.584910516922745,7.473347234732319,18.07369099377642,10.600343759044101,100.60516498636605,32.13674379862019,62.82271646169345,174.66537731077315,111.84266084907969,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ESO LNAs,21x25,2,2,2022217,21 16,NA,,67.00 -> 116.00,67.00 -> 90.00,90.00 -> 116.00,NA,NA,NA,,16.42912163088875,45.08674272038352,8.845784925538352,23.383334683133995,14.537549757595643,104.11191947448033,34.42003393880485,64.75333750980194,221.27235029789952,156.5190127880976,,18.106590116196003,56.34704851906975,8.845784925538352,23.383334683133995,14.537549757595643,108.24492233176332,35.07057251388126,65.40754025893284,221.27235029789952,155.86481003896668,,13.882204780954751,16.255314685895232,8.900045051240955,19.289819100949114,10.389774049708159,99.91688123339237,33.44135038385658,64.75333750980194,194.6574260678102,129.90408855800825,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ESO LNAs,21x25,2,3,2022217,21 16,NA,,67.00 -> 116.00,67.00 -> 90.00,90.00 -> 116.00,NA,NA,NA,,17.018253241390585,69.01970824219853,6.82929675198516,26.313212493407452,19.483915741422294,101.97590983250441,33.187471340199345,61.299749005003235,202.09425149309615,140.79450248809292,,19.038671649870313,90.57667514506667,10.59114337655159,26.313212493407452,15.722069116855861,93.35243322725199,26.049876892203528,67.12627064107008,159.10658702614091,91.98031638507084,,13.50039643928092,12.133470051775634,6.82929675198516,17.32433859968641,10.49504184770125,110.39709578982713,36.73099626738027,61.299749005003235,202.09425149309615,140.79450248809292,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ESO LNAs,21x25,2,4,2022217,21 16,NA,,67.00 -> 116.00,67.00 -> 90.00,90.00 -> 116.00,NA,NA,NA,,16.61815387624953,52.19235107373516,7.766348638795081,24.136738417658883,16.370389778863803,108.73786089642442,34.57743192740412,56.44325546037349,197.97263006922714,141.52937460885363,,18.47961844209143,65.03013705834182,11.022032379859926,24.136738417658883,13.114706037798957,101.79219084408392,37.372734054395195,56.44325546037349,197.97263006922714,141.52937460885363,,13.607824129725943,17.99638177142085,7.766348638795081,19.925619281571365,12.159270642776285,113.92623928311053,31.183822851413744,63.89899741073141,186.3688827671856,122.46988535645418,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
"
"
