Project Title,LNA ID/s (axb),Session ID,BiasID,Date,Time,Comment, ,Center Frequency (GHz),Marker Frequency (GHz),Resolution Bandwidth (MHz),Video Bandwidth (Hz),Frequency Span (MHz),Power Bandwidth (MHz),Attenuation (dB), ,L1S1GV Set (V),L1S1DV Set (V),L1S1DI Set (mA),L1S2GV Set (V),L1S2DV Set (V),L1S2DI Set (mA),L1S3GV Set (V),L1S3DV Set (V),L1S3DI Set (mA), ,L2S1GV Set (V),L2S1DV Set (V),L2S1DI Set (mA),L2S2GV Set (V),L2S2DV Set (V),L2S2DI Set (mA),L2S3GV Set (V),L2S3DV Set (V),L2S3DI Set (mA), ,L1S1GV Meas (V),L1S1DV Meas (V),L1S1DI Meas (mA),L1S2GV Meas (V),L1S2DV Meas (V),L1S2DI Meas (mA),L1S3GV Meas (V),L1S3DV Meas (V),L1S3DI Meas (mA), ,L2S1GV Meas (V),L2S1DV Meas (V),L2S1DI Meas (mA),L2S2GV Meas (V),L2S2DV Meas (V),L2S2DI Meas (mA),L2S3GV Meas (V),L2S3DV Meas (V),L2S3DI Meas (mA), ,CRBE GV Set (V),CRBE DV Set (V),CRBE DI Set (mA),RTBE GV Set (V),RTBE DV Set (V),RTBE DI Set (mA), ,CRBE GV Meas (V),CRBE DV Meas (V),CRBE DI Meas (mA),RTBE GV Meas (V),RTBE DV Meas (V),RTBE DI Meas (mA)
ESO LNAs,21x25,1,1,2022217,20 9,NA,,0.075,0.075,8,10,25,24,10,,+0.250,+0.700,+8.000,+0.250,+1.000,+6.000,NA,NA,NA,,+0.081,+1.000,+6.000,+0.081,+1.000,+6.000,NA,NA,NA,,0.146,0.801,4.944,0.146,1.076,5.379,NA,NA,NA,,0.086,1.016,6.368,0.085,1.016,6.464,NA,NA,NA,,NA,+1.260,+13.900,NA,+1.220,+16.000,,0.129,1.26,13.925,-0.171,1.22,16.184
ESO LNAs,21x25,1,2,2022217,20 9,NA,,0.075,0.075,8,10,25,24,10,,+0.250,+0.900,+8.000,+0.250,+1.000,+6.000,NA,NA,NA,,+0.088,+1.000,+6.000,+0.081,+1.000,+6.000,NA,NA,NA,,0.146,1.001,6.233,0.146,1.076,5.351,NA,NA,NA,,0.087,1.016,6.368,0.085,1.016,6.464,NA,NA,NA,,NA,+1.260,+13.900,NA,+1.220,+16.000,,0.129,1.26,13.925,-0.171,1.22,16.184
ESO LNAs,21x25,1,3,2022217,20 9,NA,,0.075,0.075,8,10,25,24,10,,+0.119,+1.000,+6.000,+0.250,+0.700,+8.000,NA,NA,NA,,+0.088,+1.000,+6.000,+0.081,+1.000,+6.000,NA,NA,NA,,0.109,1.001,5.500,0.146,0.801,3.551,NA,NA,NA,,0.087,1.016,6.375,0.085,1.016,6.471,NA,NA,NA,,NA,+1.260,+13.900,NA,+1.220,+16.000,,0.129,1.26,13.925,-0.171,1.22,16.184
ESO LNAs,21x25,1,4,2022217,20 9,NA,,0.075,0.075,8,10,25,24,10,,+0.119,+1.000,+6.000,+0.250,+0.900,+8.000,NA,NA,NA,,+0.088,+1.000,+6.000,+0.081,+1.000,+6.000,NA,NA,NA,,0.109,1.001,5.500,0.146,1.000,4.789,NA,NA,NA,,0.087,1.016,6.368,0.084,1.016,6.471,NA,NA,NA,,NA,+1.260,+13.900,NA,+1.220,+16.000,,0.129,1.26,13.925,-0.171,1.22,16.184
"
"
ESO LNAs,21x25,2,1,2022217,21 16,NA,,0.075,0.075,8,10,25,24,10,,+0.250,+0.700,+8.000,+0.213,+1.000,+6.000,NA,NA,NA,,+0.081,+1.000,+6.000,+0.081,+1.000,+6.000,NA,NA,NA,,0.243,0.801,6.902,0.207,1.076,6.041,NA,NA,NA,,0.086,1.016,6.361,0.085,1.016,6.464,NA,NA,NA,,NA,+1.260,+13.900,NA,+1.220,+16.000,,0.129,1.26,13.933,-0.171,1.22,16.191
ESO LNAs,21x25,2,2,2022217,21 16,NA,,0.075,0.075,8,10,25,24,10,,+0.219,+0.900,+8.000,+0.213,+1.000,+6.000,NA,NA,NA,,+0.088,+1.000,+6.000,+0.081,+1.000,+6.000,NA,NA,NA,,0.206,1.001,7.394,0.207,1.076,6.012,NA,NA,NA,,0.086,1.016,6.361,0.085,1.016,6.464,NA,NA,NA,,NA,+1.260,+13.900,NA,+1.220,+16.000,,0.129,1.26,13.933,-0.171,1.22,16.191
ESO LNAs,21x25,2,3,2022217,21 16,NA,,0.075,0.075,8,10,25,24,10,,+0.119,+1.000,+6.000,+0.250,+0.700,+8.000,NA,NA,NA,,+0.088,+1.000,+6.000,+0.081,+1.000,+6.000,NA,NA,NA,,0.109,1.001,5.493,0.243,0.801,4.760,NA,NA,NA,,0.086,1.016,6.368,0.085,1.016,6.479,NA,NA,NA,,NA,+1.260,+13.900,NA,+1.220,+16.000,,0.129,1.26,13.933,-0.171,1.22,16.191
ESO LNAs,21x25,2,4,2022217,21 16,NA,,0.075,0.075,8,10,25,24,10,,+0.119,+1.000,+6.000,+0.250,+0.900,+8.000,NA,NA,NA,,+0.088,+1.000,+6.000,+0.081,+1.000,+6.000,NA,NA,NA,,0.109,1.001,5.493,0.243,1.001,5.984,NA,NA,NA,,0.086,1.016,6.368,0.084,1.016,6.464,NA,NA,NA,,NA,+1.260,+13.900,NA,+1.220,+16.000,,0.129,1.26,13.933,-0.171,1.22,16.191
"
"
