Project: ESO LNAs - LNA ID/s: 21x25 - Session ID: 4 - Bias ID: 1 - 2022218 1 12 - NA
L1S1: GV = 0.15000000000000002V DV = +0.863V DI = 5.000mA    -   L1S2: GV = 0.25V DV = +0.976V DI = 6.000mA    -   L1S3: GV = NAV DV = NAV DI = NAmA    -   L2S1: GV = 0.12500000000000003V DV = +0.916V DI = 6.000mA    -   L2S2: GV = 0.12500000000000003V DV = +0.916V DI = 6.000mA    -   L2S3: GV = NAV DV = NAV DI = NAmA 
Center Frequency     = 0.075GHz    Marker Frequency     = 0.075GHz    Resolution Bandwidth = 8MHz    Video Bandwidth      = 10Hz    Frequency Span       = 25MHz    Power Bandwidth      = 24MHz    Attenuation          = 10dB
Frequency (GHz),Cold Power (dBm),Hot Power (dBm),Hot Load Temps (K),Hot LNA Temps (K),Cold Load Temps (K),Cold LNA Temps (K),Loss (dB),Y Factor,Corrected Hot Load Temps (K),Corrected Cold Load Temps,Uncalibrated Noise Temperature (K),Corrected Noise Temperature (K),Calibrated & Corrected Noise Temperature (K),Gain (dB),Pre Cold Measurement LNA Temp (K),Post Cold Measurement LNA Temp (K),Pre Hot Measurement LNA Temp (K),Post Hot Measurement LNA Temp (K),Pre Cold Measurement 1st Extra Temp (K),Post Cold Measurement 1st Extra Temp (K),Pre Hot Measurement 1st Extra Temp (K),Post Hot Measurement 1st Extra Temp (K),Pre Cold Measurement 2nd Extra Temp (K),Post Cold Measurement 2nd Extra Temp (K),Pre Hot Measurement 2nd Extra Temp (K),Post Hot Measurement 2nd Extra Temp (K)
67.0,-49.57,-48.63,60.879999999999995,21.0,20.27,21.0,1.324360559,1.2416523075924093,55.75264337482786,20.36385582588705,147.78136439456713,126.0812077512854,125.27813716891784,9.789943398299695,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
68.0,-49.7,-48.51,60.93,21.0,20.16,21.0,1.305100073,1.3152248321922404,56.040341616323175,20.262862836020247,109.17625728805638,93.23542513668608,91.85957558487863,21.51652745094768,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
69.0,-49.51,-48.38,60.879999999999995,21.0,20.099999999999998,21.0,1.289168967,1.2971792709839547,56.20267417072366,20.2055565006607,117.12356833630497,100.92374552258345,99.97355241984638,21.598443364567977,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
70.0,-49.4,-48.23,60.91,21.0,20.279999999999998,21.0,1.275744983,1.309181922999407,56.406343492648354,20.361248626542046,111.13130505252056,96.2209063598458,95.2246440765611,20.41956751845261,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
71.0,-49.65,-48.68,60.9,21.0,20.189999999999998,21.0,1.264262719,1.2502590302177188,56.551455251152376,20.278278727984123,142.48145271274876,124.66424938623234,121.89188066404839,15.877515825130203,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
72.0,-49.51,-48.74,60.809999999999995,21.0,20.169999999999998,21.0,1.254319282,1.1939881044642706,56.60618613298876,20.257645453645296,189.32738187418195,167.1174556110608,164.64566756872608,15.573801211270075,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
73.0,-49.41,-48.68,60.97,21.0,20.169999999999998,21.0,1.245618994,1.1830415557251632,56.869284175514935,20.255153718647048,202.7302033902136,179.77663858016828,177.81180302259736,15.596147343810012,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
74.0,-49.67,-48.49,60.809999999999995,21.0,20.21,21.0,1.237939437,1.312199899019204,56.83234434120695,20.288933634022772,109.83488511222292,96.76238772126156,94.71501091656,16.535955384449053,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
75.0,-49.47,-48.05,60.949999999999996,21.0,20.21,21.0,1.231109736,1.3867558288718895,57.0544598728262,20.287033209022965,85.12777892587333,74.77921768898798,72.53032290365789,14.792310817063958,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
76.0,-49.66,-48.61,60.97,21.0,20.18,21.0,1.224996214,1.2735030810166603,57.15933066257133,20.258177354433112,128.95908775131966,114.66225268595242,111.92431768750026,14.643400501986147,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
77.0,-49.59,-48.62,60.949999999999996,21.0,20.279999999999998,21.0,1.219492624,1.2502590302177214,57.21997278990639,20.34722452043222,142.23161832049672,126.99110823581421,124.79436424705966,16.244044036148477,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
78.0,-49.57,-48.47,60.94,21.0,20.14,21.0,1.214513339,1.288249551693135,57.28263163322074,20.218751547206566,121.40401892508375,108.36385983347542,107.30563097080547,17.95000557699029,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
79.0,-49.54,-48.74,60.96,21.0,20.12,21.0,1.209988499,1.2022644346174107,57.366435626214745,20.199137553777057,181.79389592169326,163.55683587151026,162.95052183406122,24.452768802023954,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
80.0,-49.54,-48.39,60.99,21.0,20.18,21.0,1.205860474,1.3031667784522973,57.45401791162641,20.25250575925147,114.43237477384537,102.4572197004216,97.55968730229947,16.179041457828433,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
81.0,-49.6,-48.66,60.879999999999995,21.0,20.29,21.0,1.202081256,1.241652307592412,57.409078746035995,20.35179423496275,147.67860085632617,132.99780494857455,129.37056986355591,13.656587645928624,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
82.0,-49.52,-48.34,61.0,21.0,20.27,21.0,1.198610492,1.3121998990192016,57.5698608971342,20.332600038627298,110.19128499066213,98.94117607562009,97.6215282732662,17.599140812479998,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
83.0,-49.69,-48.6,60.9,21.0,20.27,21.0,1.195413991,1.2852866599436128,57.52571388844346,20.331735059183867,122.14815585779778,110.04232041404094,109.45610291180199,21.958950964648913,21.0,21.0,21.0,21.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0
